fcstDate	fcstTime	category	fcstValue
20251113	2100	TMP	8
20251113	2100	UUU	1.2
20251113	2100	VVV	-1.9
20251113	2100	VEC	328
20251113	2100	WSD	2.2
20251113	2100	SKY	1
20251113	2100	PTY	0
20251113	2100	POP	0
20251113	2100	WAV	-999
20251113	2100	PCP	강수없음
20251113	2100	REH	70
20251113	2100	SNO	적설없음
20251113	2200	TMP	7
20251113	2200	UUU	1.1
20251113	2200	VVV	-1.5
20251113	2200	VEC	324
20251113	2200	WSD	1.9
20251113	2200	SKY	1
20251113	2200	PTY	0
20251113	2200	POP	0
20251113	2200	WAV	-999
20251113	2200	PCP	강수없음
20251113	2200	REH	75
20251113	2200	SNO	적설없음
20251113	2300	TMP	6
20251113	2300	UUU	0.9
20251113	2300	VVV	-1.2
20251113	2300	VEC	323
20251113	2300	WSD	1.5
20251113	2300	SKY	1
20251113	2300	PTY	0
20251113	2300	POP	0
20251113	2300	WAV	-999
20251113	2300	PCP	강수없음
20251113	2300	REH	80
20251113	2300	SNO	적설없음
20251114	0000	TMP	6
20251114	0000	UUU	0.8
20251114	0000	VVV	-1
20251114	0000	VEC	321
20251114	0000	WSD	1.3
20251114	0000	SKY	1
20251114	0000	PTY	0
20251114	0000	POP	0
20251114	0000	WAV	-999
20251114	0000	PCP	강수없음
20251114	0000	REH	85
20251114	0000	SNO	적설없음
20251114	0100	TMP	5
20251114	0100	UUU	0.8
20251114	0100	VVV	-0.9
20251114	0100	VEC	318
20251114	0100	WSD	1.2
20251114	0100	SKY	1
20251114	0100	PTY	0
20251114	0100	POP	0
20251114	0100	WAV	-999
20251114	0100	PCP	강수없음
20251114	0100	REH	85
20251114	0100	SNO	적설없음
20251114	0200	TMP	4
20251114	0200	UUU	0.9
20251114	0200	VVV	-1
20251114	0200	VEC	318
20251114	0200	WSD	1.3
20251114	0200	SKY	1
20251114	0200	PTY	0
20251114	0200	POP	0
20251114	0200	WAV	-999
20251114	0200	PCP	강수없음
20251114	0200	REH	90
20251114	0200	SNO	적설없음
20251114	0300	TMP	4
20251114	0300	UUU	1
20251114	0300	VVV	-1
20251114	0300	VEC	315
20251114	0300	WSD	1.4
20251114	0300	SKY	1
20251114	0300	PTY	0
20251114	0300	POP	0
20251114	0300	WAV	-999
20251114	0300	PCP	강수없음
20251114	0300	REH	90
20251114	0300	SNO	적설없음
20251114	0400	TMP	4
20251114	0400	UUU	1
20251114	0400	VVV	-0.9
20251114	0400	VEC	312
20251114	0400	WSD	1.3
20251114	0400	SKY	1
20251114	0400	PTY	0
20251114	0400	POP	0
20251114	0400	WAV	-999
20251114	0400	PCP	강수없음
20251114	0400	REH	85
20251114	0400	SNO	적설없음
20251114	0500	TMP	3
20251114	0500	UUU	1
20251114	0500	VVV	-0.8
20251114	0500	VEC	309
20251114	0500	WSD	1.3
20251114	0500	SKY	1
20251114	0500	PTY	0
20251114	0500	POP	0
20251114	0500	WAV	-999
20251114	0500	PCP	강수없음
20251114	0500	REH	85
20251114	0500	SNO	적설없음
20251114	0600	TMP	3
20251114	0600	UUU	0.9
20251114	0600	VVV	-0.7
20251114	0600	VEC	308
20251114	0600	WSD	1.1
20251114	0600	SKY	1
20251114	0600	PTY	0
20251114	0600	POP	0
20251114	0600	WAV	-999
20251114	0600	PCP	강수없음
20251114	0600	REH	90
20251114	0600	SNO	적설없음
20251114	0600	TMN	1.0
20251114	0700	TMP	3
20251114	0700	UUU	0.9
